isbn,pubdate,publisher,series,series_index,tags,title,title_sort,id,uuid
"1491923172","2015-09-27T17:00:00-07:00","O'Reilly Media","","1.0","Physical Library","Design Sprint: A Practical Guidebook for Building Great Digital Products","Design Sprint: A Practical Guidebook for Building Great Digital Products","93","55329cc4-45c3-46ea-b1bd-045dd8980396"
"9781718061682","2018-08-07T17:00:00-07:00","Independently Published","","1.0","Physical Library","SUMMARY: Measure What Matters by John Doerr: How Google, Bono, and the Gates Foundation Rock the World With OKRs","SUMMARY: Measure What Matters by John Doerr: How Google, Bono, and the Gates Foundation Rock the World With OKRs","94","d4520ea3-bd1e-4688-aca0-d72736cfd2b7"
"9781565238718","2015-01-01T16:00:00-08:00","Fox Chapel Publishing","","1.0","Physical Library","3D Printers: A Beginner's Guide","3D Printers: A Beginner's Guide","95","4ce0c253-c2d3-4c6e-81e0-668f328538c1"
"9789811052088","2018-05-22T17:00:00-07:00","Springer","","1.0","Physical Library, Discrete Mathematics, Intelligence (AI) & Semantics, Desktop Publishing, Natural Language Processing, Software Development & Engineering, Document Management, Mathematical & Statistical Software, General, Desktop Applications, Computers, Mathematics","Deep Learning in Natural Language Processing","Deep Learning in Natural Language Processing","96","5bc3a828-b2c0-4346-84cd-d0f29de1a25d"
"9780061766084","2009-09-28T17:00:00-07:00","HarperCollins","","1.0","Physical Library, General, Business & Economics","Change by Design: How Design Thinking Transforms Organizations and Inspires Innovation","Change by Design: How Design Thinking Transforms Organizations and Inspires Innovation","97","4ae1ff87-5529-4f08-86e0-3b6e5043b10a"
"9781937785499","2013-07-06T17:00:00-07:00","Pragmatic Bookshelf","","1.0","Physical Library, Object Oriented, Programming, Programming Languages, Computers, Ruby, General","Programming Ruby 1.9 & 2.0: The Pragmatic Programmers' Guide","Programming Ruby 1.9 & 2.0: The Pragmatic Programmers' Guide","98","9596c1e6-f5e6-4170-b662-3cb4e1546198"
"9781509301041","2015-10-30T16:30:12-07:00","Microsoft Press","","1.0","Physical Library","Microsoft Visual C# Step by Step","Microsoft Visual C# Step by Step","99","5a7726a8-80ac-47f1-9a92-f5fa99131dfa"
"9781491978917","2018-06-15T16:30:55-07:00","O'Reilly Media, Incorporated","","1.0","Physical Library, SQL, Web Programming, Computers, Programming Languages, Web, JavaScript","Learning PHP, MySQL and JavaScript: With JQuery, CSS and HTML5","Learning PHP, MySQL and JavaScript: With JQuery, CSS and HTML5","100","0e215f85-e265-4cc3-baf9-dee73a31cc6c"
"9781118907443","2014-07-07T17:00:00-07:00","Wiley","","1.0","Programming, Physical Library, Programming Languages, General, Computers","Web Design With HTML, CSS, JavaScript and jQuery Set","Web Design With HTML, CSS, JavaScript and jQuery Set","101","eb29de69-84ae-4e7f-a316-f1821568a2ec"
"9781520951409","2017-04-02T17:00:00-07:00","Independently Published","","1.0","Physical Library","Machine Learning for Absolute Beginners: A Plain English Introduction","Machine Learning for Absolute Beginners: A Plain English Introduction","102","ed93eb27-e098-4a61-9ed7-59f83c1f7633"
"9781978348684","2017-10-14T17:00:00-07:00","CreateSpace Independent Publishing Platform","","1.0","Physical Library","Lean: The Bible: 7 Manuscripts - Lean Startup, Lean Six Sigma, Lean Analytics, Lean Enterprise, Kanban, Scrum, Agile Project Management","Lean: The Bible: 7 Manuscripts - Lean Startup, Lean Six Sigma, Lean Analytics, Lean Enterprise, Kanban, Scrum, Agile Project Management","103","4577ba83-c194-4e46-ba30-dab11c0cbaee"
"9780986155499","2015-10-13T16:31:23-07:00","Dave Burgess Consulting, Incorporated","","1.0","Physical Library","The Innovator's Mindset: Empower Learning, Unleash Talent, and Lead a Culture of Creativity","Innovator's Mindset: Empower Learning, Unleash Talent, and Lead a Culture of Creativity, The","104","d5f4ee08-be21-4d50-ae34-85a560d5d290"
"9780374533557","2013-04-01T17:00:00-07:00","Farrar, Straus and Giroux","","1.0","Physical Library","Thinking, Fast and Slow","Thinking, Fast and Slow","105","d891fcc0-3cf1-4501-a22f-6818250e4d95"
"1633691780","2015-12-14T16:00:00-08:00","Harvard Business Review Press","","1.0","Physical Library","The Innovator's Dilemma: When New Technologies Cause Great Firms to Fail (Management of Innovation and Change)","Innovator's Dilemma: When New Technologies Cause Great Firms to Fail (Management of Innovation and Change), The","106","8e21b62c-af58-4f1d-9108-add353fb323b"
"9783319582047","2017-07-13T16:31:39-07:00","Springer International Publishing","","1.0","Physical Library, Industrial Design, Nanotechnology & MEMS, Manufacturing, Technology & Engineering, Product, Materials Science, Lasers & Photonics, General, Metallurgy, Technical & Manufacturing Industries & Trades","Additive Manufacturing of Metals: From Fundamental Technology to Rocket Nozzles, Medical Implants, and Custom Jewelry","Additive Manufacturing of Metals: From Fundamental Technology to Rocket Nozzles, Medical Implants, and Custom Jewelry","107","a94d781c-1ef7-4a14-a532-f620a6627cf4"
